Country,WHO Region,Population,Geographical Region,WHO Group,DALY,Adult DALYs,Children DALYs,Retention Rate,Retention Rate (ADULT),Retention Rate (CHILD),# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,Estimated adults (15+) living with HIV,Estimated children (0-14) living with HIV,# Adult Prevalent Cases Receiving Treatment,# Children Prevalent Cases Receiving Treatment,3TC,ABC,AZT,ddl,d4T,EFV,FTC,LPV/r,NVP,TDF,ATV/r,Overall Treatment Impact,,,,,,average of 2013 antiretroviral treatment. ,,,Treatment Regimen Proportion and Efficacy Section,,,,,impact =daly*treatment cover*x/(1-treatment cover*x)/number of drugs,,,,,,Originator Company,Drug(s),Final Impact,,,,,Afghanistan,"9,224.37",Afghanistan,"1,528.18",,Afghanistan,500,26,11.00%,,,All ages,Children (0-14),Adults (15+),Year,,http://apps.who.int/gho/data/node.main.626?lang=en,Estimated antiretroviral therapy coverage among people living with HIV (%),Reported number of people receiving antiretroviral therapy,Cleaned coverage,Cleaned number of people receiving antiretroviral therapy,Computed Impact Score (3TC),Computed Impact Score (ABC),Computed Impact Score (AZT),Computed Impact Score (ddl),Computed Impact Score (d4T),Computed Impact Score (EFV),Computed Impact Score (FTC),Computed Impact Score (LPV/r),Computed Impact Score (NVP),Computed Impact Score (TDF),Computed Impact Score (ATV/r),Computed Overall Treatment Impact
Libya,EMR,"6,234,955.00",Sub-Saharan Africa,A,"5,486.98","4,868.11",618.88,97.14,97.14,97.14,,,35.84%,,,35.84%,,,,,,,,10.19,0.04,3.79,0.0,0.0,7.88,2.87,0.86,4.16,9.52,0.16,39.47,,,,,,,,,,,,,,,,,,,,,,,,,,,Latvia,"5,342.37",Lebanon,186.16,,Micronesia (Federated States of),,,,,,,,,,,Micronesia (Federated States of),No data,No data,,,10.19284182688127,0.04072238966445052,3.791574617874954,0.0,0.0,7.884151899435366,2.870391031999188,0.8561505583405671,4.162749720864653,9.33973623610097,0.16018068023987087,39.298498961401286
Lithuania,EUR,"2,904,910.00",Europe and Central Asia,A,"3,008.23","2,967.91",40.32,63.00,63.00,97.14,566.00,,0.00%,561,,0.00%,5.00,,,"275,916",370,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Lebanon,"3,875.69",Lesotho,"154,631.20",,Monaco,,,,,,,,,,,Monaco,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luxembourg,EUR,"569,604.00",Europe and Central Asia,A,138.65,136.28,2.36,97.14,97.14,97.14,700.00,,0.00%,698,,0.00%,2.00,,,"54,102",73,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesotho,"579,343.10",Liberia,"19,127.54",,Mongolia,100,0,1.00%,,,,,,,,Mongolia,36 [28-45],147,36.00%,147.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madagascar,AFR,"24,234,088.00",Sub-Saharan Africa,A,"226,513.31","179,911.80","46,601.51",80.00,97.14,97.14,"1,234.00","41,133",3.00%,"1,218","37,333",3.26%,16.00,"3,800.00",1%,"55,000","16,362","1,794.38",163.62,248.39,7.6,98.1,0.2,1.04,178.63,64.18,24.74,105.62,212.89,3.76,945.15,,,,,,,,,,,,,,,,,,,,,,,,,,,Liberia,"97,314.25",Libya,618.88,,Montenegro,,2,,,,,,,,,Montenegro,No data,92,,92.00,248.16614510129952,7.580137626275418,97.96556440170733,0.2032698834904203,1.0355209823294809,178.49986672460847,64.13063933443534,24.713170958592148,105.4984025685397,208.47249445468168,3.7609407320759884,940.0261527680356
Malawi,AFR,"17,573,607.00",Sub-Saharan Africa,A,"1,723,555.30","1,189,228.00","534,327.30",76.00,97.14,97.14,"595,186.00","975,715",61.00%,"543,699","891,715",60.97%,"51,487.00","84,000.00",61%,"910,000","190,000","554,847.94","115,900.00",56656.2,5958.31,25994.62,170.9,878.45,32696.58,10431.35,7126.84,26852.92,35459.82,558.84,202784.84,,,,,,,,,,,,,,,,,,,,,,,,,,,Libya,"4,868.11",Lithuania,40.32,,Morocco,500,489,95.00%,,,,,,,,Morocco,37 [31-43],8 926,37.00%,"8,926.00",56596.39645465912,5941.498802898607,25932.322633919895,170.98442773075368,878.5197484567304,32697.04958351105,10431.315389572233,7111.819584781325,26807.418178414562,34826.2414297932,559.1328697197252,201952.69910345718
Malaysia,WPR,"30,723,155.00","East, South and South-East Asia",A,"103,087.57","101,295.60","1,791.97",95.00,95.00,89.00,"25,700.00","91,786",28.00%,"25,213","91,286",27.62%,487.00,500.00,95%,"76,000","2,596","20,991.10","2,466.13",305.1,7.63,120.36,0.19,0.96,221.69,79.42,28.5,130.0,263.92,4.49,1162.26,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithuania,"2,967.91",Luxembourg,2.36,,Mozambique,"110,000","64,273",57.00%,,,,,,,,Mozambique,53 [43-66],802 659,53.00%,"802,659.00",305.0600736807637,7.6119488337066485,120.2967311364641,0.1862861025835901,0.9618467554044065,221.70066478752747,79.42244782699467,28.497889091452244,129.95571548412573,258.8472194746227,4.489180372905439,1157.0300035465507
Maldives,SEA,"409,163.00","East, South and South-East Asia",A,52.30,42.83,9.46,97.14,97.14,97.14,9.00,36,25.18%,9,36,25.18%,0.00,,,100,29,25.18,0.00,0.06,0.0,0.02,0.0,0.0,0.05,0.02,0.01,0.03,0.06,0.0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,Luxembourg,136.28,Macedonia,3.03,,Myanmar,"9,500","7,086",75.00%,,,,,,,,Myanmar,47 [42-55],106 490,47.00%,"106,490.00",0.0619242641251217,0.0002516762102732953,0.02313027503002817,0.0,0.0,0.04773184245627465,0.017444390376488646,0.005277712183350445,0.0253693779510588,0.05665887976892171,0.0009897219109264467,0.23877814001244385
Mali,AFR,"17,467,905.00",Sub-Saharan Africa,A,"386,669.70","280,360.60","106,309.10",97.14,97.14,97.14,"34,974.00","124,907",28.00%,"32,309","112,907",28.62%,"2,665.00","12,000.00",23%,"86,000","11,794","24,609.37","2,712.60",624.62,52.48,271.16,1.53,7.8,390.11,130.47,75.46,283.48,438.69,7.36,2283.16,,,,,,,,,,,,,,,,,,,,,,,,,,,Macedonia,116.39,Madagascar,"46,601.51",,Namibia,"10,000","10,010",95.00%,,,,,,,,Namibia,69 [63-74],144 496,69.00%,"144,496.00",624.1842946131127,52.33169798964044,270.6406485686826,1.526373888871558,7.8000861268627695,390.18374848830206,130.49663930044142,75.33628483964014,283.1148374348467,430.4368088275849,7.364641419228852,2273.4160614972143
Malta,EUR,"431,874.00",Europe and Central Asia,A,93.87,91.83,2.04,97.14,97.14,97.14,,,0.00%,,,0.00%,,,,575,1,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Madagascar,"179,911.80",Malawi,"534,327.30",,Nauru,,,,,,,,,,,Nauru,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marshall Islands,WPR,"52,994.00",Oceania,A,171.00,145.30,25.69,88.00,88.00,97.14,,,36.37%,,,36.37%,,,,,,,,1.3,0.01,0.48,0.0,0.0,1.0,0.37,0.11,0.53,1.21,0.02,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,Malawi,"1,189,228.00",Malaysia,"1,791.97",,Nepal,"1,600",893,58.00%,,,,,,,,Nepal,31 [27-36],11 922,31.00%,"11,922.00",1.29649100498937,0.005175261587667385,0.4821721324084523,0.0,0.0,1.0030100638769812,0.36509533520995,0.10881898685927895,0.529400257883101,1.1880662416434717,0.02035703157995882,4.998586316038232
Mauritania,AFR,"4,182,341.00",Sub-Saharan Africa,A,"18,990.26","14,965.87","4,024.39",74.00,73.00,80.00,"2,458.00","13,656",18.00%,"2,301","12,356",18.62%,157.00,"1,300.00",13%,"9,500","477,163","1,769.20","62,031.18",174.78,10.37,72.53,0.3,1.51,117.05,40.56,19.38,76.85,135.48,2.32,651.13,,,,,,,,,,,,,,,,,,,,,,,,,,,Malaysia,"101,295.60",Maldives,9.46,,Netherlands,,,,,,,,,,,Netherlands,High-income country,No data,,,174.65953213328038,10.337930830290205,72.41111526405075,0.296792297681611,1.5145207289099556,117.03843301514148,40.55803622558437,19.352551114344593,76.75867086294086,132.82924671915384,2.324300766660145,648.0811299580382
Mauritius,AFR,"1,262,605.00",Sub-Saharan Africa,A,"3,872.09","3,714.38",157.71,97.14,97.14,97.14,"2,537.00","8,184",31.00%,"2,514","8,184",30.72%,23.00,,,"10,000","144,050","3,071.90",0.00,6.61,0.03,2.46,0.0,0.0,5.1,1.86,0.56,2.7,6.17,0.1,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,Maldives,42.83,Mali,"106,309.10",,New Zealand,,,,,,,,,,,New Zealand,High-income country,No data,,,6.61063697056659,0.026630570518194407,2.464005205415309,0.0,0.0,5.104725401761608,1.8619507586874258,0.5591933560276812,2.7039304368465786,6.053090124905303,0.10473853461814848,25.48890135934684
Mexico,AMR,"125,890,949.00",Latin America and the Caribbean,B,"258,597.16","244,776.90","13,820.26",85.00,85.00,81.00,"117,631.00","199,375",59.00%,"115,671","197,575",58.55%,"1,960.00","1,800.00",95%,"170,000","9,621","99,527.33","9,140.36",5098.53,167.67,2031.45,4.31,22.25,3653.45,1283.29,476.38,2186.68,4290.58,69.02,19283.62,,,,,,,,,,,,,,,,,,,,,,,,,,,Mali,"280,360.60",Malta,2.04,,Nicaragua,200,122,69.00%,,,,,,,,Nicaragua,34 [26-49],3 350,34.00%,"3,350.00",5097.786228647051,167.2565941452615,2030.1123048196346,4.310098448230527,22.25423233621986,3653.9398642705705,1283.4430726432947,476.1939501895513,2185.751679658596,4212.840709356019,69.06720090443041,19202.95593541886
Micronesia (Federated States of),WPR,"104,433.00",Oceania,A,0.00,0.00,0.00,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Malta,91.83,Marshall Islands,25.69,,Niger,"5,900",922,16.00%,,,,,,,,Niger,26 [23-30],12 887,26.00%,"12,887.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monaco,EUR,"38,307.00",,A,0.00,0.00,0.00,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Marshall Islands,145.30,Mauritania,"4,024.39",,Nigeria,,"43,655",,,,,,,,,Nigeria,No data,828 867,,"828,867.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mongolia,WPR,"2,976,877.00","East, South and South-East Asia",A,160.29,152.28,8.00,95.00,95.00,97.14,147.00,408,36.00%,147,308,47.68%,0.00,100.00,1%,"1,454",83,693.42,0.83,0.76,0.0,0.28,0.0,0.0,0.59,0.21,0.06,0.31,0.71,0.01,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,Mauritania,"14,965.87",Mauritius,157.71,,Niue,,,,,,,,,,,Niue,No data,No data,,,0.7572369126844848,0.0032474581206149724,0.2805167632334712,8.723746655008401e-06,4.4441520557144215e-05,0.5875448180063807,0.21287812035465725,0.0626811043028093,0.3082377783782454,0.6942352263115785,0.01165886844004712,2.918290215099501
Montenegro,EUR,"622,159.00",Europe and Central Asia,A,61.82,60.09,1.74,94.00,93.00,97.14,92.00,,0.00%,90,,0.00%,2.00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Mauritius,"3,714.38",Mexico,"13,820.26",,Norway,,,,,,,,,,,Norway,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montserrat,AMR,"5,012.00",,B,0.00,0.00,0.00,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Mexico,"244,776.90",Moldova,69.82,,Oman,,31,,,,,,,,,Oman,High-income country,1 098,,"1,098.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,EMR,"34,803,322.00",Middle East and North Africa,A,"17,375.66","16,281.27","1,094.39",82.00,97.14,97.14,"8,926.00","24,124",37.00%,"8,437","23,624",35.71%,489.00,500.00,95%,"25,000","1,777","8,928.30","1,688.20",264.68,15.12,112.81,0.41,2.11,174.54,60.19,27.98,119.34,201.37,3.36,981.92,,,,,,,,,,,,,,,,,,,,,,,,,,,Moldova,"9,913.85",Mongolia,8.00,,Pakistan,"2,500",131,5.00%,,,,,,,,Pakistan,6 [5-10],6 564,6.00%,"6,564.00",264.52887390287316,15.079936357414727,112.65668627139642,0.40956641690610807,2.1147048747073347,174.53641685430537,60.187555721501006,27.951266324625188,119.2231417717487,197.55650194106886,3.359419568688906,977.6040700052357
Mozambique,AFR,"28,010,691.00",Sub-Saharan Africa,A,"4,241,733.00","2,769,133.00","1,472,600.00",66.00,66.00,64.00,"802,659.00","1,514,451",53.00%,"738,386","1,404,451",52.57%,"64,273.00","110,000.00",57%,"1,300,000","170,000","683,471.22","96,900.00",174711.67,21562.33,82863.26,623.42,3202.53,94559.13,29259.12,23538.03,84823.09,99916.37,1589.08,616648.05,,,,,,,,,,,,,,,,,,,,,,,,,,,Mongolia,152.28,Montenegro,1.74,,Palau,,,,,,,,,,,Palau,No data,No data,,,174486.0354633201,21500.919171488666,82633.70736807032,623.7093737651722,3202.7863791440877,94556.04141859175,29257.400270052323,23481.522794789907,84654.85802977743,98109.78805664495,1589.8170383128406,614096.5853639574
Myanmar,SEA,"52,403,669.00","East, South and South-East Asia",A,"393,499.72","382,019.70","11,480.02",85.00,85.00,90.00,"106,490.00","226,574",47.00%,"99,404","217,074",45.79%,"7,086.00","9,500.00",75%,"200,000","4,631","91,585.16","3,473.13",5782.99,118.42,2232.46,2.82,14.54,4291.8,1533.9,519.68,2423.63,5107.56,84.22,22112.01,,,,,,,,,,,,,,,,,,,,,,,,,,,Montenegro,60.09,Morocco,"1,094.39",,"Palestine, State of",,,,,,,,,,,Panama,60 [55-65],10 227,60.00%,"10,227.00",5782.137466663739,118.14811132087084,2231.4198899019793,2.8244170956789483,14.54114177562045,4291.735934064357,1533.8662217982007,519.6277780151102,2422.819350965205,5011.957891099658,84.26056294722635,22013.338765647648
Namibia,AFR,"2,425,561.00",Sub-Saharan Africa,A,"297,031.57","240,660.40","56,371.17",85.00,85.00,87.00,"144,496.00","209,414",69.00%,"134,486","199,414",67.44%,"10,010.00","10,000.00",95%,"190,000","19,000","128,136.83","18,050.00",7435.7,632.23,3355.43,17.57,90.77,4500.16,1475.32,851.65,3496.19,4994.04,78.2,26927.25,,,,,,,,,,,,,,,,,,,,,,,,,,,Morocco,"16,281.27",Mozambique,"1,472,600.00",,Panama,200,162,92.00%,,,,,,,,Papua New Guinea,53 [48-58],21 198,53.00%,"21,198.00",7429.8183546946875,630.5133544593252,3349.1049173230217,17.580370582169895,90.77232369322626,4500.360247605169,1475.363717526299,850.1819612575252,3491.584994526641,4905.534897460809,78.24214179819998,26819.057280927074
Nauru,WPR,"12,475.00",Oceania,A,0.00,0.00,0.00,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Mozambique,"2,769,133.00",Myanmar,"11,480.02",,Papua New Guinea,"3,300","1,170",36.00%,,,,,,,,Paraguay,31 [22-49],5 499,31.00%,"5,499.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nepal,SEA,"28,656,282.00","East, South and South-East Asia",A,"90,026.45","83,510.78","6,515.67",97.14,97.14,97.14,"11,922.00","38,458",31.00%,"11,029","36,858",29.92%,893.00,"1,600.00",58%,"51,000","2,738","15,260.68","1,587.88",171.42,8.6,70.79,0.24,1.21,116.8,40.72,17.93,75.33,135.96,2.29,641.29,,,,,,,,,,,,,,,,,,,,,,,,,,,Myanmar,"382,019.70",Namibia,"56,371.17",,Paraguay,500,175,58.00%,,,,,,,,Peru,56 [48-67],37 201,56.00%,"37,201.00",171.3313967868464,8.578664043361128,70.70446681770628,0.23621795882524552,1.213167882103389,116.78928362750345,40.720450498014515,17.908238677171394,75.26493195017326,133.34946207211127,2.293454580648724,638.389734894465
Netherlands,EUR,"16,939,923.00",Europe and Central Asia,A,"3,232.71","3,127.20",105.50,97.14,97.14,97.14,,,0.00%,,,0.00%,,,,"22,547",30,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Namibia,"240,660.40",Nepal,"6,515.67",,Peru,"1,100",888,84.00%,,,,,,,,Philippines,27 [19-80],12 533,27.00%,"12,533.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Caledonia,WPR,"273,000.00",,A,0.00,0.00,0.00,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Nepal,"83,510.78",Netherlands,105.50,,Philippines,500,41,10.00%,,,,,,,,Poland,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,WPR,"4,595,700.00",,A,628.40,607.33,21.07,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,"13,129",,"4,775.37",,1.29,0.01,0.48,0.0,0.0,1.0,0.36,0.11,0.53,1.21,0.02,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Netherlands,"3,127.20",New Zealand,21.07,,Poland,,,,,,,,,,,Portugal,High-income country,No data,,,1.2915565167998133,0.005155564368724921,0.48033696912267054,0.0,0.0,0.9991925739791259,0.3637057701356667,0.10840481815051799,0.5273853427699076,1.1835444217347797,0.020279552035928697,4.979561529097135
Nicaragua,AMR,"6,082,035.00",Latin America and the Caribbean,B,"9,753.16","9,524.27",228.89,79.00,78.00,97.14,"3,350.00","9,853",34.00%,"3,228","9,653",33.44%,122.00,200.00,69%,"6,800",465,"2,273.96",320.73,144.53,3.03,56.04,0.07,0.37,106.78,38.33,13.22,60.77,127.39,2.15,552.67,,,,,,,,,,,,,,,,,,,,,,,,,,,New Zealand,607.33,Nicaragua,228.89,,Portugal,,,,,,,,,,,Qatar,High-income country,No data,,,144.51003006850323,3.0190155177652778,56.01718773200679,0.07251572438501142,0.37301522526107944,106.78167637853399,38.32613427249779,13.216710463137474,60.75360905356374,124.95761482814908,2.1468127366975165,550.174322000501
Niger,AFR,"19,896,965.00",Sub-Saharan Africa,A,"195,978.98","135,371.90","60,607.08",67.00,67.00,71.00,"12,887.00","49,565",26.00%,"11,965","43,665",27.40%,922.00,"5,900.00",16%,"41,000","13,434","11,234.64","2,149.44",3195.16,240.45,1362.0,6.98,35.65,2051.18,694.72,374.48,1430.98,2330.76,39.26,11761.63,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicaragua,"9,524.27",Niger,"60,607.08",,Qatar,,,,,,,,,,,Republic of Korea,High-income country,No data,,,3192.7084191678077,239.76611097857244,1359.443732296589,6.982989132502886,35.64909747714495,2051.1628981607455,694.705765648107,373.9076164145005,1429.095937481905,2286.2162076882923,39.280071186872476,11708.91884563304
Nigeria,AFR,"181,181,744.00",Sub-Saharan Africa,A,"7,887,547.00","5,694,592.00","2,192,955.00",97.14,97.14,97.14,"828,867.00","2,312,993",35.84%,"785,212","2,312,993",33.95%,"43,655.00",,,"3,000,000","420,000","1,018,436.33",0.00,11257.84,45.1,4191.03,0.0,0.0,8702.9,3170.7,947.65,4600.62,10514.54,177.37,43607.76,,,,,,,,,,,,,,,,,,,,,,,,,,,Niger,"135,371.90",Nigeria,"2,192,955.00",,Republic of Korea,,,,,,,,,,,Republic of Moldova,21 [18-25],3 850,21.00%,"3,850.00",11259.616943386465,45.122740806388144,4191.535051515415,0.0,0.0,8703.875892819005,3171.029229710386,948.2319969708838,4601.056585568638,10314.537759804105,177.48169773832467,43412.4878983196
Niue,WPR,,Oceania,A,0.00,0.00,0.00,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria,"5,694,592.00",North Africa and Middle East,"69,061.61",,Republic of Moldova,200,106,75.00%,,,,,,,,Romania,No data,10 551,,"10,551.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern Mariana Islands,WPR,"54,816.00",,A,69.21,66.76,2.44,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.14,0.0,0.05,0.0,0.0,0.11,0.04,0.01,0.06,0.13,0.0,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,North Africa and Middle East,"347,521.20",North East England,9.95,,Romania,,243,,,,,,,,,Russian Federation,No data,No data,,,0.1419727546170213,0.0005667190444339581,0.05280044795848959,0.0,0.0,0.10983500936697749,0.039979907487292084,0.011916265720001616,0.0579721823116247,0.13009965849705088,0.0022292047057095813,0.5473721497086012
Norway,EUR,"5,188,607.00",Europe and Central Asia,A,699.33,678.35,20.98,97.14,97.14,97.14,,,0.00%,,,0.00%,,,,"6,906",9,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,North Africa and Middle East,"347,521.20",North Korea,"1,909.91",,Russian Federation,,,,,,,,,,,Rwanda,79 [70-87],158 728,79.00%,"158,728.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oman,EMR,"4,199,810.00",Middle East and North Africa,A,"3,404.10","3,332.48",71.63,66.00,66.00,67.00,"1,098.00",,0.00%,"1,067",,0.00%,31.00,,,"3,959",214,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,North East England,253.39,North West England,52.28,,Rwanda,"11,000","8,266",74.00%,,,,,,,,Saint Kitts and Nevis,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan,EMR,"189,380,513.00","East, South and South-East Asia",A,"78,120.91","67,978.19","10,142.72",97.14,97.14,97.14,"6,564.00","109,400",6.00%,"6,433","106,900",6.02%,131.00,"2,500.00",5%,"58,000","15,614","3,490.31",780.70,26.03,1.13,10.52,0.03,0.16,18.13,6.42,2.74,11.24,21.36,0.37,98.13,,,,,,,,,,,,,,,,,,,,,,,,,,,North Korea,"26,687.75",Northern Ireland,6.41,,Saint Kitts and Nevis,,,,,,,,,,,Saint Lucia,No data,No data,,,26.029458979547485,1.129021705766513,10.508707243299554,0.03163718154265046,0.16126085140148122,18.13964038918032,6.425628095675411,2.7339599839929107,11.2335277132146,20.942561791460086,0.3752890808838626,97.71069301596488
Palau,WPR,"21,288.00",Oceania,A,0.00,0.00,0.00,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,North West England,955.98,Northern Mariana Islands,2.44,,Saint Lucia,,,,,,,,,,,Saint Vincent and the Grenadines,No data,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,AMR,"3,969,249.00",Latin America and the Caribbean,B,"23,247.42","23,000.54",246.88,97.14,97.14,97.14,"10,227.00","17,045",60.00%,"10,065","16,845",59.75%,162.00,200.00,92%,"16,000",303,"9,560.11",279.09,85.35,0.81,31.93,0.01,0.07,65.51,23.51,7.13,34.97,78.36,1.26,328.93,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Ireland,407.96,Norway,20.98,,Saint Vincent and the Grenadines,,,,,,,,,,,Samoa,No data,No data,,,85.35333366537634,0.8135646584573168,31.924281029407393,0.014215020695894844,0.07336418485053676,65.51361277219732,23.512619998729406,7.131629640277637,34.970161891384784,76.92693963992316,1.2628293777079906,327.4965518790078
Papua New Guinea,WPR,"7,919,825.00",Oceania,A,"43,382.94","39,671.85","3,711.09",90.00,97.14,97.14,"21,198.00","39,996",53.00%,"20,028","36,696",54.58%,"1,170.00","3,300.00",36%,"23,000","3,200","12,552.90","1,152.00",488.06,11.52,187.97,0.29,1.49,361.58,128.41,44.26,203.92,428.43,6.95,1862.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Mariana Islands,66.76,Oceania,"4,484.07",,Samoa,,,,,,,,,,,San Marino,High-income country,No data,,,488.0140411991114,11.496325141208569,187.87771076117443,0.2917492099855981,1.4936589173470627,361.6162362537856,128.42086501710608,44.25783758713921,203.8572586303194,420.5844142664593,6.955605864061193,1854.8657028476978
Paraguay,AMR,"6,639,119.00",Latin America and the Caribbean,B,"17,659.28","16,829.96",829.32,78.00,77.00,94.00,"5,499.00","17,739",31.00%,"5,324","17,239",30.88%,175.00,500.00,58%,"10,000","6,881","3,088.40","3,991.02",257.96,8.78,102.89,0.23,1.19,183.99,65.26,25.15,110.61,217.28,3.67,977.01,,,,,,,,,,,,,,,,,,,,,,,,,,,Norway,678.35,Oman,71.63,,San Marino,,,,,,,,,,,Sao Tome and Principe,No data,No data,,,257.8699062235196,8.761306205072481,102.79539632624649,0.23127709236461144,1.1877925866363856,183.976584225579,65.25115477604865,25.13970277324905,110.53496869709703,213.10023020774494,3.6695985891715774,972.5179177027297
Peru,AMR,"31,376,671.00",Latin America and the Caribbean,B,"42,538.90","41,977.43",561.47,81.00,82.00,51.00,"37,201.00","66,430",56.00%,"36,313","65,330",55.58%,888.00,"1,100.00",84%,"71,000","32,520","39,464.39","27,316.89",959.79,10.39,360.67,0.2,1.01,733.32,263.36,81.18,394.58,877.15,14.23,3695.89,,,,,,,,,,,,,,,,,,,,,,,,,,,Oceania,"46,327.10",Pakistan,"10,142.72",,Sao Tome and Principe,,,,,,,,,,,Saudi Arabia,High-income country,No data,,,959.7414310524061,10.375069589531606,360.58998779118383,0.1960370571668801,1.0105831156526868,733.3049221276284,263.3469011108559,81.20319281816455,394.5091367506884,860.9834044444937,14.240431910302453,3679.501097768075
